"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 22:28:54 HKT 2024","Tue Jul 16 22:28:57 HKT 2024","2304","","ru.yandex.praktikum.UserLoginTests","","ru.yandex.praktikum.UserLoginTests","loginWithExistingUser","Login with existing user",""
"passed","Tue Jul 16 22:28:45 HKT 2024","Tue Jul 16 22:28:54 HKT 2024","8990","","ru.yandex.praktikum.UserLoginTests","","ru.yandex.praktikum.UserLoginTests","loginWithDeletedUser","Login with deleted user",""
"passed","Tue Jul 16 22:29:06 HKT 2024","Tue Jul 16 22:29:11 HKT 2024","4404","","ru.yandex.praktikum.UserUpdateTests","","ru.yandex.praktikum.UserUpdateTests","updateUserWithAuth","Update user data with authorization",""
"passed","Tue Jul 16 22:29:15 HKT 2024","Tue Jul 16 22:29:15 HKT 2024","605","","ru.yandex.praktikum.UserCreationTests","","ru.yandex.praktikum.UserCreationTests","createUserWithoutEmail","Create a user without a required field - email",""
"passed","Tue Jul 16 22:29:12 HKT 2024","Tue Jul 16 22:29:13 HKT 2024","759","","ru.yandex.praktikum.UserCreationTests","","ru.yandex.praktikum.UserCreationTests","createUserWithoutPassword","Create a user without a required field - password",""
"passed","Tue Jul 16 22:29:13 HKT 2024","Tue Jul 16 22:29:14 HKT 2024","1205","","ru.yandex.praktikum.UserCreationTests","","ru.yandex.praktikum.UserCreationTests","createUserAlreadyRegistered","Create a user that is already registered",""
"passed","Tue Jul 16 22:29:14 HKT 2024","Tue Jul 16 22:29:15 HKT 2024","643","","ru.yandex.praktikum.UserCreationTests","","ru.yandex.praktikum.UserCreationTests","createUserWithoutName","Create a user without a required field - name",""
"passed","Tue Jul 16 22:29:03 HKT 2024","Tue Jul 16 22:29:06 HKT 2024","3276","","ru.yandex.praktikum.UserUpdateTests","","ru.yandex.praktikum.UserUpdateTests","updateUserWithoutAuth","Update user data without authorization",""
"passed","Tue Jul 16 22:28:59 HKT 2024","Tue Jul 16 22:29:03 HKT 2024","3828","","ru.yandex.praktikum.UserUpdateTests","","ru.yandex.praktikum.UserUpdateTests","updateUserWithExistingEmail","Update user data with existing email",""
"passed","Tue Jul 16 22:28:57 HKT 2024","Tue Jul 16 22:28:59 HKT 2024","2366","","ru.yandex.praktikum.UserLoginTests","","ru.yandex.praktikum.UserLoginTests","loginWithInvalidPassword","Login with invalid password",""
"passed","Tue Jul 16 22:29:11 HKT 2024","Tue Jul 16 22:29:12 HKT 2024","1496","","ru.yandex.praktikum.UserCreationTests","","ru.yandex.praktikum.UserCreationTests","createUniqueUser","Create a unique user",""
